record_id,marketing_original_source,marketing_latest_source,device,country,lead_source_detail,visitor_type,destination_interest,budget_range,travel_group_type,trip_duration,budget_level,currency,age_bracket,lead_type,booking_intent,enquiry_touchpoints,form_submissions,page_interactions,unknown_engagement_1,total_visits,total_sessions,average_pageviews,number_of_pageviews,number_of_sessions,time_on_site,engagement_score,sales_activity_count,qualified_flag,interaction_depth,pipeline_stage_num,total_activities,deal_progress,nurture_score,readiness_score,target_conv_prob,target_profit
168339355786,PAID_SEARCH,REFERRALS,Mobile,United States,Online Ads,Unknown,MOZAMBIQUE,7000 - 10000 USD,FRIENDS,2 Weeks,med,USD,18-34,New enquiry,"Help me plan, so I can book later",2.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002160717966035,93905.8671875
192101282834,PAID_SOCIAL,PAID_SOCIAL,Mobile,Australia,Social Media,FIRST_VISITOR_NO_RESEARCH,KENYA,NOTSURE,SOLO,2 Weeks,notsure,Unknown,18-34,Unknown,"Help me plan, so I can book later",1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023084578569978,68852.6640625
171246808374,PAID_SOCIAL,PAID_SOCIAL,Mobile,United States,Social Media,FIRST_VISITOR_NO_RESEARCH,OPEN TO IDEAS,NOTSURE,FAMILY,10 Days,notsure,Unknown,35-54,New enquiry,Help me research,5.0,1.0,6.0,1.0,2.0,2.0,3.0,3.0,1.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057162279263138,269700.09375
171893182578,ORGANIC_SEARCH,ORGANIC_SEARCH,Mobile,United States,Google or other search,FIRST_VISITOR_NO_RESEARCH,SOUTH AFRICA,NOTSURE,FAMILY,10 Days,notsure,Unknown,55+,New enquiry,Help me compare prices,2.0,0.0,2.0,0.0,2.0,2.0,3.0,22.0,7.0,106.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1021301075816154,67366.4453125
163195797177,ORGANIC_SEARCH,DIRECT_TRAFFIC,Mobile,Hong Kong,Social Media,FIRST_VISITOR_NO_RESEARCH,SOUTH AFRICA,NOTSURE,FAMILY,10 Days,notsure,Unknown,35-54,New enquiry,"Help me plan, so I can book later",2.0,2.0,4.0,2.0,3.0,3.0,1.0,16.0,9.0,226.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1519942879676818,83291.671875
170978480393,ORGANIC_SEARCH,ORGANIC_SEARCH,Mobile,Portugal,Google or other search,FIRST_VISITOR_NO_RESEARCH,KENYA,NOTSURE,FAMILY,Less than One Week,notsure,Unknown,35-54,New enquiry,Help me book my vacation,3.0,1.0,4.0,1.0,2.0,2.0,5.0,5.0,1.0,285.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0275268107652664,120591.765625
170042344494,PAID_SEARCH,PAID_SEARCH,Mobile,United States,Unknown,Unknown,ZIMBABWE,10000+ USD,PARTNER,Less than One Week,high,USD,Unknown,New enquiry,Unknown,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0128231178969144,118668.0234375
171557274456,DIRECT_TRAFFIC,DIRECT_TRAFFIC,Mobile,United States,Online Ads,PREVIOUS_VISITOR_ONCE,SOUTH AFRICA;ZIMBABWE,10000+ USD,PARTNER,2 Weeks,high,USD,Unknown,New enquiry,"Help me plan, so I can book later",2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.024233091622591,152603.421875
127953383198,ORGANIC_SEARCH,EMAIL_MARKETING,Desktop,United States,Google or other search,PREVIOUS_VISITOR_MULTIPLE,ZIMBABWE,10000+ USD,PARTNER,10 Days,high,USD,55+,New enquiry,"Help me plan, so I can book later",2.0,0.0,2.0,0.0,3.0,3.0,6.0,30.0,5.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0889021381735801,134174.625
192100403460,PAID_SEARCH,REFERRALS,Desktop,Canada,Google or other search,FIRST_VISITOR_NO_RESEARCH,KENYA;MADAGASCAR,10000 - 14000 CAD,FAMILY,One Week,med,CAD,35-54,New enquiry,Help me book my vacation,2.0,2.0,4.0,2.0,2.0,2.0,3.0,7.0,2.0,139.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116579178720712,91682.390625
185199723158,PAID_SEARCH,REFERRALS,Mobile,Canada,Google or other search,PREVIOUS_VISITOR_MULTIPLE,OPEN TO IDEAS;SOUTH AFRICA;NAMIBIA,10000 - 14000 CAD,PARTNER,2 Weeks,med,CAD,55+,New enquiry,Unknown,2.0,0.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,1534.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.231251984834671,111801.2578125
169519783511,PAID_SOCIAL,PAID_SOCIAL,Mobile,Canada,Social Media,PREVIOUS_VISITOR_MULTIPLE,SOUTH AFRICA;ZIMBABWE;MAURITIUS;MOZAMBIQUE,10000 - 14000 CAD,FAMILY,2 Weeks +,med,CAD,55+,New enquiry,"Help me plan, so I can book later",5.0,3.0,8.0,3.0,2.0,2.0,3.0,3.0,1.0,56.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0068775159306824,290849.59375
170999750012,DIRECT_TRAFFIC,DIRECT_TRAFFIC,Mobile,United States,Social Media,PREVIOUS_VISITOR_ONCE,TANZANIA,NOTSURE,FAMILY,10 Days,notsure,Unknown,35-54,New enquiry,Help me research,4.0,1.0,5.0,1.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.011861409060657,166626.703125
172481858662,OFFLINE,DIRECT_TRAFFIC,Unknown,United States,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,New enquiry,Unknown,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3634014427661895,150349.0625
169926028170,PAID_SOCIAL,DIRECT_TRAFFIC,Mobile,Australia,Social Media,FIRST_VISITOR_NO_RESEARCH,OPEN TO IDEAS,5500 - 11000 AUD,FAMILY,2 Weeks,low,AUD,35-54,New enquiry,Help me research,2.0,2.0,4.0,2.0,2.0,2.0,1.0,5.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118537116795778,160861.09375
174003189003,PAID_SOCIAL,PAID_SOCIAL,Mobile,Australia,Google or other search,FIRST_VISITOR_NO_RESEARCH,SOUTH AFRICA;BOTSWANA;ZIMBABWE,5500 - 11000 AUD,PARTNER,2 Weeks +,low,AUD,55+,New enquiry,"Help me plan, so I can book later",2.0,0.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,255.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0261948443949222,161182.671875
142053808554,PAID_SOCIAL,REFERRALS,Mobile,Australia,Google or other search,FIRST_VISITOR_RESEARCH,KENYA;UGANDA;TANZANIA;RWANDA;ZIMBABWE;MADAGASCAR,5500 - 11000 AUD,PARTNER,2 Weeks,med,AUD,35-54,Repeat enquiry,Help me compare prices,2.0,0.0,2.0,0.0,5.0,2.0,2.0,11.0,4.0,85.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0134936058893799,97489.71875
136039349067,PAID_SOCIAL,DIRECT_TRAFFIC,Mobile,Australia,Social Media,PREVIOUS_VISITOR_MULTIPLE,TANZANIA,5500 - 11000 AUD,FRIENDS,10 Days,low,AUD,55+,Repeat enquiry,"Help me plan, so I can book later",12.0,0.0,12.0,0.0,4.0,3.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0145643297582864,350248.25
173963742903,PAID_SEARCH,REFERRALS,Mobile,United States,Unknown,Unknown,KENYA,10000+ USD,FAMILY,2 Weeks,high,USD,Unknown,New enquiry,Unknown,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035258231218904,209667.578125
166444624917,PAID_SOCIAL,PAID_SOCIAL,Tablet,Australia,Unknown,Unknown,OPEN TO IDEAS,11000 - 16000 AUD,PARTNER,2 Weeks +,med,AUD,Unknown,New enquiry,Unknown,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092913750559091,93432.0546875
172989873163,PAID_SEARCH,REFERRALS,Desktop,Australia,Google or other search,FIRST_VISITOR_NO_RESEARCH,UGANDA;BOTSWANA;OPEN TO IDEAS,11000 - 16000 AUD,FRIENDS,2 Weeks +,med,AUD,55+,New enquiry,Help me book my vacation,5.0,0.0,5.0,0.0,2.0,2.0,2.0,5.0,2.0,152.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0396813601255416,187106.421875
151579838619,PAID_SEARCH,DIRECT_TRAFFIC,Desktop,Australia,Google or other search,FIRST_VISITOR_NO_RESEARCH,KENYA;TANZANIA;ZAMBIA,16000+ AUD,PARTNER,2 Weeks +,high,AUD,18-34,New enquiry,Help me book my vacation,2.0,0.0,2.0,0.0,2.0,2.0,4.0,38.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0407090336084365,128931.28125
160267323501,PAID_SEARCH,ORGANIC_SEARCH,Desktop,Australia,Google or other search,FIRST_VISITOR_RESEARCH,TANZANIA;SOUTH AFRICA;ZAMBIA;ZIMBABWE;BOTSWANA,16000+ AUD,PARTNER,2 Weeks +,high,AUD,55+,New enquiry,"Help me plan, so I can book later",2.0,0.0,2.0,0.0,5.0,2.0,5.0,11.0,2.0,35.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.019231317564845,148490.1875
88873252667,PAID_SEARCH,DIRECT_TRAFFIC,Desktop,Canada,Unknown,Unknown,KENYA;SOUTH AFRICA,3000 - 7000 CAD,FRIENDS,One Week,low,CAD,Unknown,New enquiry,Unknown,10.0,0.0,10.0,0.0,1.0,1.0,1.0,4.0,3.0,52.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0192130953073501,217115.84375
172086033445,PAID_SEARCH,EMAIL_MARKETING,Mobile,Ireland,Google or other search,Unknown,UGANDA,4000 - 7000 EUR,PARTNER,Less than One Week,low,EUR,55+,New enquiry,Help me research,2.0,0.0,2.0,0.0,2.0,2.0,1.0,7.0,4.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0263822302222251,44983.2265625
127277013171,PAID_SOCIAL,PAID_SOCIAL,Mobile,United Kingdom,Social Media,FIRST_VISITOR_NO_RESEARCH,BOTSWANA,4000 - 7000 GBP,PARTNER,10 Days,low,GBP,35-54,New enquiry,Help me research,2.0,0.0,2.0,0.0,2.0,2.0,7.0,7.0,1.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046377768740057,58384.34375
171465927464,ORGANIC_SEARCH,ORGANIC_SEARCH,Mobile,United Kingdom,Social Media,FIRST_VISITOR_RESEARCH,SOUTH AFRICA;KENYA;BOTSWANA;MAURITIUS;SEYCHELLES;MADAGASCAR,4000 - 7000 GBP,PARTNER,10 Days,low,GBP,18-34,New enquiry,Help me book my vacation,2.0,0.0,2.0,0.0,2.0,2.0,10.0,10.0,1.0,203.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0203197132796049,48780.9453125
170480807088,PAID_SOCIAL,DIRECT_TRAFFIC,Mobile,United States,Google or other search,FIRST_VISITOR_NO_RESEARCH,TANZANIA,4000 - 7000 USD,FAMILY,10 Days,low,USD,18-34,New enquiry,"Help me plan, so I can book later",3.0,1.0,4.0,1.0,2.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0035964052658528,93952.6953125
169788777012,PAID_SEARCH,PAID_SEARCH,Desktop,United States,Google or other search,FIRST_VISITOR_NO_RESEARCH,TANZANIA;KENYA;SEYCHELLES;RWANDA;OPEN TO IDEAS,10000+ USD,PARTNER,2 Weeks +,high,USD,55+,New enquiry,Unknown,2.0,0.0,2.0,0.0,2.0,2.0,1.0,12.0,7.0,571.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0526587888598442,192026.53125
167427612744,PAID_SOCIAL,DIRECT_TRAFFIC,Mobile,United States,Social Media,FIRST_VISITOR_NO_RESEARCH,KENYA;TANZANIA;MADAGASCAR;MOZAMBIQUE;OPEN TO IDEAS,4000 - 7000 USD,PARTNER,10 Days,low,USD,35-54,New enquiry,Help me research,2.0,0.0,2.0,0.0,3.0,3.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0134347379207611,59570.1171875
171486814738,ORGANIC_SEARCH,ORGANIC_SEARCH,Mobile,United States,Google or other search,FIRST_VISITOR_RESEARCH,SOUTH AFRICA;KENYA;ZIMBABWE;TANZANIA;MALAWI;RWANDA;SEYCHELLES,4000 - 7000 USD,PARTNER,10 Days,low,USD,18-34,New enquiry,"Help me plan, so I can book later",2.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0066086202859878,79709.609375
172910035874,ORGANIC_SEARCH,ORGANIC_SEARCH,Desktop,United States,Google or other search,PREVIOUS_VISITOR_MULTIPLE,KENYA;TANZANIA,4000 - 7000 USD,FAMILY,One Week,low,USD,35-54,New enquiry,"Help me plan, so I can book later",4.0,1.0,5.0,1.0,2.0,2.0,8.0,8.0,1.0,38.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0388780795037746,115030.8125
162921963189,ORGANIC_SEARCH,DIRECT_TRAFFIC,Desktop,Kenya,Online Ads,PREVIOUS_VISITOR_MULTIPLE,SOUTH AFRICA,4000 - 7000 USD,FAMILY,Less than One Week,low,USD,35-54,New enquiry,"Help me plan, so I can book later",3.0,0.0,3.0,0.0,2.0,2.0,5.0,27.0,5.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0482266023755073,64675.59765625
172072769718,PAID_SEARCH,DIRECT_TRAFFIC,Desktop,United States,From a friend,FIRST_VISITOR_NO_RESEARCH,SOUTH AFRICA;OPEN TO IDEAS,4000 - 7000 USD,FAMILY,10 Days,low,USD,35-54,Referral,"Help me plan, so I can book later",4.0,0.0,4.0,0.0,3.0,3.0,1.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0246904082596302,154374.6875
181984156582,PAID_SEARCH,DIRECT_TRAFFIC,Desktop,United States,Google or other search,FIRST_VISITOR_NO_RESEARCH,SOUTH AFRICA,4000 - 7000 USD,FRIENDS,2 Weeks,low,USD,35-54,New enquiry,"Help me plan, so I can book later",5.0,0.0,5.0,0.0,4.0,2.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0277988836169242,143736.53125
135218872702,PAID_SEARCH,DIRECT_TRAFFIC,Mobile,United States,Google or other search,FIRST_VISITOR_RESEARCH,SOUTH AFRICA,4000 - 7000 USD,PARTNER,Less than One Week,low,USD,18-34,Repeat enquiry,Help me compare prices,2.0,0.0,2.0,0.0,4.0,2.0,3.0,28.0,9.0,149.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1095091849565506,54543.9609375
170660808590,PAID_SEARCH,REFERRALS,Mobile,United States,Unknown,Unknown,SOUTH AFRICA,10000+ USD,FRIENDS,2 Weeks,high,USD,Unknown,New enquiry,Unknown,2.0,0.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0158830843865871,139254.4375
171461819499,EMAIL_MARKETING,DIRECT_TRAFFIC,Desktop,United States,Google or other search,FIRST_VISITOR_NO_RESEARCH,TANZANIA,4000 - 7000 USD,SOLO,10 Days,low,USD,55+,New enquiry,"Help me plan, so I can book later",1.0,0.0,1.0,0.0,2.0,2.0,2.0,8.0,4.0,146.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0174977742135524,75134.421875
173638722946,DIRECT_TRAFFIC,EMAIL_MARKETING,Desktop,United States,Google or other search,FIRST_VISITOR_NO_RESEARCH,SOUTH AFRICA;KENYA;TANZANIA;OPEN TO IDEAS,4000 - 7000 USD,FRIENDS,10 Days,low,USD,18-34,New enquiry,Help me book my vacation,3.0,0.0,3.0,0.0,2.0,2.0,3.0,9.0,3.0,70.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0328114815056324,88577.109375
171970355743,DIRECT_TRAFFIC,DIRECT_TRAFFIC,Mobile,United States,Google or other search,FIRST_VISITOR_NO_RESEARCH,OPEN TO IDEAS,4000 - 7000 USD,PARTNER,10 Days,low,USD,18-34,New enquiry,Help me book my vacation,2.0,0.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169568937271833,74619.78125
168125890971,PAID_SOCIAL,DIRECT_TRAFFIC,Mobile,Singapore,Online Ads,FIRST_VISITOR_NO_RESEARCH,SOUTH AFRICA,4000 - 7000 USD,FAMILY,10 Days,low,USD,35-54,New enquiry,"Help me plan, so I can book later",6.0,0.0,6.0,0.0,3.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0496996715664863,138070.765625
169812412470,PAID_SEARCH,DIRECT_TRAFFIC,Desktop,United States,Unknown,Unknown,KENYA;TANZANIA,4000 - 7000 USD,FAMILY,One Week,low,USD,Unknown,New enquiry,Unknown,3.0,0.0,3.0,0.0,2.0,2.0,1.0,5.0,3.0,52.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0329945161938667,73510.0078125
170184044058,PAID_SEARCH,REFERRALS,Mobile,United States,Unknown,Unknown,KENYA;TANZANIA,7000 - 10000 USD,PARTNER,10 Days,med,USD,Unknown,New enquiry,Unknown,2.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,52.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0133242709562182,81376.0625
187355348509,OFFLINE,OFFLINE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,New enquiry,Unknown,2.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0610455684363842,91548.859375
173625039522,PAID_SEARCH,REFERRALS,Desktop,United States,Google or other search,PREVIOUS_VISITOR_ONCE,TANZANIA;RWANDA,NOTSURE,PARTNER,10 Days,notsure,Unknown,18-34,New enquiry,Help me research,2.0,0.0,2.0,0.0,2.0,2.0,1.0,5.0,3.0,161.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0423474237322807,96433.546875
200450801,ORGANIC_SEARCH,ORGANIC_SEARCH,Mobile,Switzerland,Google or other search,FIRST_VISITOR_RESEARCH,TANZANIA;KENYA,7500+ USD,PARTNER,2 Weeks,high,USD,35-54,Repeat enquiry,Unknown,2.0,0.0,2.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2043076455593109,101763.4609375
170118847807,PAID_SEARCH,REFERRALS,Desktop,United States,Google or other search,PREVIOUS_VISITOR_MULTIPLE,TANZANIA;KENYA,7000 - 10000 USD,FAMILY,One Week,med,USD,35-54,New enquiry,"Help me plan, so I can book later",5.0,0.0,5.0,0.0,2.0,2.0,2.0,4.0,2.0,534.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0739304646849632,203325.59375
192098717442,PAID_SOCIAL,PAID_SOCIAL,Mobile,Papua New Guinea,Unknown,Unknown,SOUTH AFRICA,4000 - 7000 USD,SOLO,One Week,low,USD,Unknown,Unknown,Unknown,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038713808171451,52497.7578125
